,Rates
AED,3.981298
AFN,96.638742
ALL,115.95265
AMD,425.557588
ANG,1.936705
AOA,546.046449
ARS,196.148041
AUD,1.554182
AWG,1.953803
AZN,1.836299
BAM,1.952993
BBD,2.169768
BDT,111.963575
BGN,1.953635
BHD,0.408529
BIF,2227.803595
BMD,1.083941
BND,1.428712
BOB,7.425515
BRL,5.537414
BSD,1.074639
BTC,5.7341808e-05
BTN,87.632757
BWP,13.637318
BYN,2.712435
BYR,21245.235603
BZD,2.166074
CAD,1.446838
CDF,2200.399852
CHF,1.00762
CLF,0.032153
CLP,887.207749
CNY,7.274432
COP,5091.008815
CRC,622.759705
CUC,1.083941
CUP,28.724426
CVE,110.110146
CZK,24.021215
DJF,191.312122
DKK,7.439572
DOP,60.671476
DZD,147.915524
EGP,32.023294
ERN,16.259109
ETB,57.623374
EUR,1.0
FJD,2.357458
FKP,0.889929
GBP,0.886511
GEL,2.904867
GGP,0.889929
GHS,12.896082
GIP,0.889929
GMD,67.316033
GNF,9258.766358
GTQ,8.428469
GYD,224.835875
HKD,8.466064
HNL,26.51349
HRK,7.633327
HTG,159.577743
HUF,396.895622
IDR,16433.460724
ILS,3.699977
IMP,0.889929
INR,88.207838
IQD,1568.446324
IRR,45362.914146
ISK,154.288538
JEP,0.889929
JMD,164.435643
JOD,0.768842
JPY,139.330784
KES,134.35398
KGS,92.872018
KHR,4421.895671
KMF,494.059083
KPW,975.492208
KRW,1340.054254
KWD,0.330785
KYD,0.895508
KZT,496.633229
LAK,18311.902227
LBP,1625.024683
LKR,394.918986
LRD,167.631759
LSL,18.226444
LTL,3.200594
LVL,0.655665
LYD,5.144927
MAD,10.921037
MDL,20.57862
MGA,4876.891378
MKD,61.483059
MMK,2256.679406
MNT,3740.952189
MOP,8.643346
MRO,386.966605
MUR,47.357487
MVR,16.703205
MWK,1103.751999
MXN,20.425761
MYR,4.699957
MZN,69.188229
NAD,18.22643
NGN,490.082452
NIO,39.233652
NOK,10.697529
NPR,140.203123
NZD,1.695635
OMR,0.417269
PAB,1.074539
PEN,4.070887
PGK,3.786465
PHP,59.4303
PKR,245.727751
PLN,4.692816
PYG,7930.381236
QAR,3.946638
RON,4.941252
RSD,117.477133
RUB,72.911235
RWF,1152.254476
SAR,4.071103
SBD,8.992594
SCR,13.893572
SDG,623.806454
SEK,11.264067
SGD,1.432552
SHP,1.493017
SLE,20.713872
SLL,20676.16653
SOS,617.303882
SRD,34.252156
STD,22435.381787
SVC,9.40243
SYP,2723.410475
SZL,18.150804
THB,35.748489
TJS,10.988346
TMT,3.793792
TND,3.324988
TOP,2.520056
TRY,20.366266
TTD,7.296869
TWD,32.80817
TZS,2532.085466
UAH,39.4938
UGX,3960.167124
USD,1.083941
UYU,42.776446
UZS,12143.491754
VEF,2060213.479641
VES,20.87052
VND,25410.819298
VUV,126.747179
WST,2.913506
XAF,654.987512
XAG,0.045572
XAU,0.000569
XCD,2.929404
XDR,0.801044
XOF,655.005614
XPF,120.257793
YER,271.315633
ZAR,18.203477
ZMK,9756.764883
ZMW,19.692379
ZWL,349.028428
